"CURSO Name","DISCIPLINA FK"
"Matemática Computacional Aplicada","",
"Engenharia de Energia","Algoritmos e Programação de Computadores - UnB",
"Engenharia Automotiva","Algoritmos e Programação de Computadores - UnB",
"Engenharia Aeroespacial","Algoritmos e Programação de Computadores - UnB",
"Engenharia de Software","Algoritmos e Programação de Computadores - UnB",
"Engenharia Eletrônica","Algoritmos e Programação de Computadores - UnB",
"Engenharia de Redes ","Computação para Engenharia - UnB",
"Ciência Da Computação","Algoritmos e Programação de Computadores - UnB",
"Engenharia de Produção ","INTRODUCAO A CIENCIA DA COMPUTACAO - UnB",
"Engenharia de Computação","Algoritmos e Programação de Computadores - UnB",
"Engenharia Mecatrônica","Algoritmos e Programação de Computadores - UnB",
